customer_id, Product Name ,Price,Quantity,Customer_Type,Order_Date, customer_email 
1027,  laptop,169.12,3,PREMIUM,,bob@email.com
1046,Smartphone,1189.32,4,PREMIUM,,charlie@email.com
1097,MOUSE,MISSING,2,Regular,2024-01-06,eve@email.com
1042,  laptop,MISSING,5,Premium,2024-01-21,alice@email.com
1045,headphones,MISSING,3,regular,2024-01-04,charlie@email.com
1050,Tablet,143.49,1,PREMIUM,2024-01-25,bob@email.com
1053,Smartphone,MISSING,4,PREMIUM,,DIANA@EMAIL.COM
1048,smartphone  ,MISSING,4,regular,,bob@email.com
1048,Tablet,MISSING,2,Premium,,BOB@EMAIL.COM
1099,headphones,MISSING,4,regular,,DIANA@EMAIL.COM
1031,Smartphone,MISSING,3,regular,2024-01-06,BOB@EMAIL.COM
1062,keyboard,MISSING,3,regular,,diana@email.com
1082,TABLET,121.58,4,PREMIUM,2024-01-13,CHARLIE@EMAIL.COM
1057,Smartphone,324.48,5,PREMIUM,,eve@email.com
1085,Tablet,MISSING,1,Regular,2024-01-08,EVE@EMAIL.COM
1099,MOUSE,285.43,5,PREMIUM,2024-01-03,DIANA@EMAIL.COM
1021,TABLET,MISSING,5,Regular,,charlie@email.com
1039,TABLET,MISSING,4,Regular,,bob@email.com
1090,MOUSE,MISSING,3,Regular,2024-01-09,BOB@EMAIL.COM
1034,  laptop,MISSING,1,Premium,2024-01-20,BOB@EMAIL.COM
1029,Smartphone,MISSING,4,Regular,,diana@email.com
1026,smartphone  ,MISSING,2,Regular,2024-01-10,EVE@EMAIL.COM
1082,headphones,MISSING,2,Regular,,diana@email.com
1007,keyboard,MISSING,4,regular,2024-01-27,bob@email.com
1028,keyboard,88.66,5,Premium,2024-01-10,bob@email.com
1027,Smartphone,MISSING,4,Premium,2024-01-19,charlie@email.com
1075,Smartphone,1178.55,5,regular,,bob@email.com
1015,  laptop,MISSING,3,Regular,,alice@email.com
1089,keyboard,MISSING,1,Regular,2024-01-20,diana@email.com
1025,  laptop,MISSING,5,regular,,ALICE@EMAIL.COM
1039,TABLET,562.80,2,regular,,EVE@EMAIL.COM
1090,keyboard,574.17,2,Regular,,charlie@email.com
